Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-09-12,The Batman,2022,https://boxd.it/3duv6P,4,,,2022-03-04
2022-09-12,Nathan for You: Finding Frances,2017,https://boxd.it/3duzH1,4,,,2022-09-07
2022-10-30,Barbarian,2022,https://boxd.it/3nnIfr,3,,,2022-10-29
2022-12-06,Blow-Up,1966,https://boxd.it/3ve7zX,2,,,2022-12-05
2023-01-08,Fantastic Planet,1973,https://boxd.it/3FeniN,4,,,2023-01-07
2023-01-10,The Batman,2022,https://boxd.it/3G8j6P,,Yes,,2023-01-09
2023-02-13,The Killing of a Sacred Deer,2017,https://boxd.it/3QBW4B,,Yes,,2023-02-11
2023-04-23,The Evil Dead,1981,https://boxd.it/49F63b,2,,,2023-04-22
2023-05-02,Pulp Fiction,1994,https://boxd.it/4c1ZbV,4.5,,"w/ mav, cinema",2023-05-01
2023-07-18,The Game,1997,https://boxd.it/4xhix1,3.5,,90s,2023-07-17
2023-07-19,Brothers,2014,https://boxd.it/4xrvsj,,,,2023-07-18
2023-07-30,Psycho,1960,https://boxd.it/4BUr39,5,Yes,"w/ mav, 60s, cinema",2023-07-29
2023-08-03,The Wicker Man,1973,https://boxd.it/4DrCjn,4,Yes,"w/ mav, 70s, cinema",2023-08-02
2024-09-22,The Shaggy D.A.,1976,https://boxd.it/7nOxVH,1,,70s,2024-09-21
2025-05-06,SPERMWORLD,2024,https://boxd.it/9CdeQZ,4,Yes,"w/ mav, '20s",2025-05-03
