Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-09-30,20 anos 20 filmes,,https://boxd.it/P9BPI,

Position,Name,Year,URL,Description
1,Caché,2005,https://boxd.it/2amY,
2,The Lives of Others,2006,https://boxd.it/2a4A,
3,Zodiac,2007,https://boxd.it/27MO,
4,Tokyo Sonata,2008,https://boxd.it/1ZxQ,
5,Inglourious Basterds,2009,https://boxd.it/1JzG,
6,Incendies,2010,https://boxd.it/Msm,
7,Scream 4,2011,https://boxd.it/Zmc,
8,Django Unchained,2012,https://boxd.it/2cCk,
9,Prisoners,2013,https://boxd.it/4E5i,
10,What We Do in the Shadows,2014,https://boxd.it/7eQy,
11,Ex Machina,2015,https://boxd.it/7T2k,
12,Creepy,2016,https://boxd.it/dfd0,
13,Good Time,2017,https://boxd.it/fcFu,
14,Long Day's Journey Into Night,2018,https://boxd.it/hw1I,
15,The Lighthouse,2019,https://boxd.it/icFU,
16,Shine Your Eyes,2020,https://boxd.it/opwI,
17,Licorice Pizza,2021,https://boxd.it/qTKY,
18,The Batman,2022,https://boxd.it/eDGs,
19,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
20,The Girl with the Needle,2024,https://boxd.it/KQ3M,
