Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-08,20s,,https://boxd.it/mamrM,

Position,Name,Year,URL,Description
1,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
2,The Batman,2022,https://boxd.it/eDGs,
3,The Northman,2022,https://boxd.it/nK2s,
4,Triangle of Sadness,2022,https://boxd.it/hXlq,
5,Pearl,2022,https://boxd.it/zPbe,
6,Nope,2022,https://boxd.it/sDCe,
7,Scream VI,2023,https://boxd.it/zdfW,
8,X,2022,https://boxd.it/sxVa,
9,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
10,The Green Knight,2021,https://boxd.it/kuy2,
11,The Menu,2022,https://boxd.it/lScm,
12,Scream,2022,https://boxd.it/o0lg,
13,Beau Is Afraid,2023,https://boxd.it/u2gE,
14,Barbarian,2022,https://boxd.it/yohi,
15,Men,2022,https://boxd.it/tlc0,
16,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
17,Fresh,2022,https://boxd.it/tCNi,
18,Cocaine Bear,2023,https://boxd.it/ugw2,
19,On the Count of Three,2021,https://boxd.it/tbfI,
20,Spree,2020,https://boxd.it/oiiO,
21,Don't Look Up,2021,https://boxd.it/o0Hc,
22,Infinity Pool,2023,https://boxd.it/oPSK,
23,Inside,2023,https://boxd.it/AagY,
24,The Boogeyman,2023,https://boxd.it/jnna,
