Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-21,3 é demais,,https://boxd.it/pOCQK,

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,8
2,The Batman,2022,https://boxd.it/eDGs,4
3,The Shining,1980,https://boxd.it/29Nu,4
4,The Lighthouse,2019,https://boxd.it/icFU,4
5,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4
6,Good Time,2017,https://boxd.it/fcFu,4
7,Se7en,1995,https://boxd.it/29zs,
8,North by Northwest,1959,https://boxd.it/2aRM,
9,Hereditary,2018,https://boxd.it/hNVe,
10,Ex Machina,2015,https://boxd.it/7T2k,
11,Get Out,2017,https://boxd.it/eOCm,
12,mother!,2017,https://boxd.it/dgRU,
