Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-09-12,A24,,https://boxd.it/iewMs,só os que já assisti e apenas minha opinião é válida

Position,Name,Year,URL,Description
1,The Lighthouse,2019,https://boxd.it/icFU,
2,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
3,Hereditary,2018,https://boxd.it/hNVe,
4,Midsommar,2019,https://boxd.it/jhxe,
5,Good Time,2017,https://boxd.it/fcFu,
6,The Witch,2015,https://boxd.it/9X0m,
7,Ex Machina,2015,https://boxd.it/7T2k,
8,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
9,Pearl,2022,https://boxd.it/zPbe,
10,Enemy,2013,https://boxd.it/5xtO,
11,A Ghost Story,2017,https://boxd.it/fb0K,
12,X,2022,https://boxd.it/sxVa,
13,Uncut Gems,2019,https://boxd.it/gXGc,
14,The Lobster,2015,https://boxd.it/7tnw,
15,Dream Scenario,2023,https://boxd.it/v2h0,
16,The Green Knight,2021,https://boxd.it/kuy2,
17,Talk to Me,2022,https://boxd.it/C6uQ,
18,Green Room,2015,https://boxd.it/a75m,
19,Saint Maud,2019,https://boxd.it/l8QA,
20,Men,2022,https://boxd.it/tlc0,
21,Beau Is Afraid,2023,https://boxd.it/u2gE,
22,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
23,Under the Silver Lake,2018,https://boxd.it/dSAs,
