Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-18,As melhores comédias românticas <3,,https://boxd.it/nUW2a,

Position,Name,Year,URL,Description
1,Gone Girl,2014,https://boxd.it/6hQu,
2,Strangers on a Train,1951,https://boxd.it/29tk,
3,Scream,1996,https://boxd.it/24EC,
4,Diabolique,1955,https://boxd.it/29we,
5,Pearl,2022,https://boxd.it/zPbe,
6,Eyes Wide Shut,1999,https://boxd.it/2axs,
7,Dial M for Murder,1954,https://boxd.it/2adW,
8,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
9,Vertigo,1958,https://boxd.it/2apI,
10,Possession,1981,https://boxd.it/1BPm,
11,Breathless,1960,https://boxd.it/2aIK,
12,Rosemary's Baby,1968,https://boxd.it/29zM,
13,A Ghost Story,2017,https://boxd.it/fb0K,
14,mother!,2017,https://boxd.it/dgRU,
15,The Lighthouse,2019,https://boxd.it/icFU,
16,Midsommar,2019,https://boxd.it/jhxe,
17,Get Out,2017,https://boxd.it/eOCm,
18,The Shining,1980,https://boxd.it/29Nu,
