Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-04-01,Asia,,https://boxd.it/uqdwM,

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,Memories of Murder,2003,https://boxd.it/1TSo,
3,Chungking Express,1994,https://boxd.it/1UDa,
4,Decision to Leave,2022,https://boxd.it/qp9e,
5,Long Day's Journey Into Night,2018,https://boxd.it/hw1I,
6,Oldboy,2003,https://boxd.it/29R2,
7,Godzilla Minus One,2023,https://boxd.it/zu4c,
8,The Wailing,2016,https://boxd.it/9fLy,
9,Cure,1997,https://boxd.it/1blA,
10,Perfect Days,2023,https://boxd.it/ATh8,
11,The Handmaiden,2016,https://boxd.it/948A,
12,I Saw the Devil,2010,https://boxd.it/FaK,
13,Shin Godzilla,2016,https://boxd.it/a9lm,
14,High and Low,1963,https://boxd.it/1RSc,
15,Burning,2018,https://boxd.it/hHUa,
16,Fallen Angels,1995,https://boxd.it/1UkW,
17,House,1977,https://boxd.it/1vsm,
18,Lady Vengeance,2005,https://boxd.it/248G,
19,The Housemaid,1960,https://boxd.it/WJs,
