Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-01,asia,,https://boxd.it/rm6Ja,

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,Memories of Murder,2003,https://boxd.it/1TSo,
3,Decision to Leave,2022,https://boxd.it/qp9e,
4,Chungking Express,1994,https://boxd.it/1UDa,
5,Oldboy,2003,https://boxd.it/29R2,
6,Cure,1997,https://boxd.it/1blA,
7,The Wailing,2016,https://boxd.it/9fLy,
8,The Handmaiden,2016,https://boxd.it/948A,
9,High and Low,1963,https://boxd.it/1RSc,
10,House,1977,https://boxd.it/1vsm,
11,Lady Vengeance,2005,https://boxd.it/248G,
12,Fallen Angels,1995,https://boxd.it/1UkW,
13,The Housemaid,1960,https://boxd.it/WJs,
