Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-29,Black Mirror,,https://boxd.it/ujUsk,

Position,Name,Year,URL,Description
1,Black Mirror: Shut Up and Dance,2016,https://boxd.it/hRRq,
2,Black Mirror: White Bear,2013,https://boxd.it/hRpG,
3,Black Mirror: San Junipero,2016,https://boxd.it/k4aS,
4,Black Mirror: Nosedive,2016,https://boxd.it/hK9G,
5,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG,
6,Black Mirror: The National Anthem,2011,https://boxd.it/hQYK,
7,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,
8,Black Mirror: Beyond the Sea,2023,https://boxd.it/H7QI,
9,Black Mirror: Playtest,2016,https://boxd.it/hRR6,
10,Black Mirror: Arkangel,2017,https://boxd.it/hQXW,
11,Black Mirror: Joan Is Awful,2023,https://boxd.it/GWmi,
12,Black Mirror: The Entire History of You,2011,https://boxd.it/hQZ4,
13,Black Mirror: Demon 79,2023,https://boxd.it/H7Rc,
14,Black Mirror: The Waldo Moment,2013,https://boxd.it/hRpQ,
15,Black Mirror: Fifteen Million Merits,2011,https://boxd.it/hQYU,
16,Black Mirror: Loch Henry,2023,https://boxd.it/H7Pg,
17,Black Mirror: Be Right Back,2013,https://boxd.it/hRpw,
18,Black Mirror: Metalhead,2017,https://boxd.it/hRqk,
19,Black Mirror: Mazey Day,2023,https://boxd.it/H7QS,
