Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-08-31,branco,,https://boxd.it/oTDUY,

Position,Name,Year,URL,Description
1,Decision to Leave,2022,https://boxd.it/qp9e,
2,Free Guy,2021,https://boxd.it/k8dm,
3,Bacurau,2019,https://boxd.it/fSUG,
4,Get Out,2017,https://boxd.it/eOCm,
5,Full Metal Jacket,1987,https://boxd.it/2a1Q,
6,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
7,Dog Day Afternoon,1975,https://boxd.it/29bg,
8,A Clockwork Orange,1971,https://boxd.it/2aVE,
9,The Birds,1963,https://boxd.it/2a6m,
10,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
11,The Conversation,1974,https://boxd.it/2a38,
12,Saint Maud,2019,https://boxd.it/l8QA,
13,On the Count of Three,2021,https://boxd.it/tbfI,
14,Ford v Ferrari,2019,https://boxd.it/ce74,
15,The Lobster,2015,https://boxd.it/7tnw,
16,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
17,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
18,The Wicker Man,1973,https://boxd.it/1KnG,
19,High and Low,1963,https://boxd.it/1RSc,
20,Psycho,1960,https://boxd.it/2ab2,
21,North by Northwest,1959,https://boxd.it/2aRM,
22,The Man Who Knew Too Much,1956,https://boxd.it/2a5S,
