Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-11,Cinéfilu,,https://boxd.it/rTAYK,

Position,Name,Year,URL,Description
1,Heaven Knows What,2014,https://boxd.it/8P1a,
2,"Synecdoche, New York",2008,https://boxd.it/23zw,
3,Pi,1998,https://boxd.it/2ajq,
4,The Death of Stalin,2017,https://boxd.it/ea9Y,
5,Spellbound,1945,https://boxd.it/24Ji,
6,Hard to Be a God,2013,https://boxd.it/3Ido,
7,Raging Bull,1980,https://boxd.it/28yI,
8,Godzilla,1954,https://boxd.it/28kc,
9,Shin Godzilla,2016,https://boxd.it/a9lm,
10,The Witch,2015,https://boxd.it/9X0m,
11,Mon Oncle,1958,https://boxd.it/2apy,
12,They Live,1988,https://boxd.it/20lm,
