Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-07,CRIME,,https://boxd.it/m9RA4,

Position,Name,Year,URL,Description
1,The Batman,2022,https://boxd.it/eDGs,
2,Good Time,2017,https://boxd.it/fcFu,
3,Frenzy,1972,https://boxd.it/2a62,
4,Nightcrawler,2014,https://boxd.it/780m,
5,Dial M for Murder,1954,https://boxd.it/2adW,
6,Rope,1948,https://boxd.it/28yo,
7,American Psycho,2000,https://boxd.it/28Vs,
8,Green Room,2015,https://boxd.it/a75m,
9,Fresh,2022,https://boxd.it/tCNi,
10,Spree,2020,https://boxd.it/oiiO,
