Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-10-11,década: 60s,,https://boxd.it/zsSNe,

Position,Name,Year,URL,Description
1,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
2,Psycho,1960,https://boxd.it/2ab2,
3,The Apartment,1960,https://boxd.it/2aGE,
4,PlayTime,1967,https://boxd.it/1WLK,
5,Night of the Living Dead,1968,https://boxd.it/1WwA,
6,Charade,1963,https://boxd.it/23O2,
7,Bunny Lake Is Missing,1965,https://boxd.it/27NW,
8,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
9,Rosemary's Baby,1968,https://boxd.it/29zM,
10,Repulsion,1965,https://boxd.it/1TKu,
