Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-10-11,década: Cinema pós bug do milênio,,https://boxd.it/zsSRg,

Position,Name,Year,URL,Description
1,Inglourious Basterds,2009,https://boxd.it/1JzG,
2,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
3,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
4,Spirited Away,2001,https://boxd.it/2b4m,
5,Zodiac,2007,https://boxd.it/27MO,
6,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
7,Memories of Murder,2003,https://boxd.it/1TSo,
8,Punch-Drunk Love,2002,https://boxd.it/20E4,
9,The House of the Devil,2009,https://boxd.it/1uIe,
10,Mulholland Drive,2001,https://boxd.it/297o,
