Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-07,DRAMA,,https://boxd.it/m9ReC,

Position,Name,Year,URL,Description
1,Parasite,2019,https://boxd.it/hTha,
2,A Clockwork Orange,1971,https://boxd.it/2aVE,
3,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
4,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
5,Good Time,2017,https://boxd.it/fcFu,
6,Joker,2019,https://boxd.it/h4cS,
7,Oldboy,2003,https://boxd.it/29R2,
8,Triangle of Sadness,2022,https://boxd.it/hXlq,
9,Jojo Rabbit,2019,https://boxd.it/iEBG,
10,BlacKkKlansman,2018,https://boxd.it/hxL8,
11,The White Ribbon,2009,https://boxd.it/17eU,
12,The Truman Show,1998,https://boxd.it/18U8,
13,A Ghost Story,2017,https://boxd.it/fb0K,
14,Being John Malkovich,1999,https://boxd.it/2ahu,
15,The King of Comedy,1982,https://boxd.it/2aJS,
16,mother!,2017,https://boxd.it/dgRU,
17,Full Metal Jacket,1987,https://boxd.it/2a1Q,
18,After Hours,1985,https://boxd.it/1VfS,
19,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
20,Uncut Gems,2019,https://boxd.it/gXGc,
21,Ford v Ferrari,2019,https://boxd.it/ce74,
22,The Lobster,2015,https://boxd.it/7tnw,
23,Breathless,1960,https://boxd.it/2aIK,
24,Stalker,1979,https://boxd.it/28PO,
25,Saint Maud,2019,https://boxd.it/l8QA,
26,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,
27,On the Count of Three,2021,https://boxd.it/tbfI,
28,Blow-Up,1966,https://boxd.it/2966,
