Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-11-27,Folklore,,https://boxd.it/AJnHM,

Position,Name,Year,URL,Description
1,Midsommar,2019,https://boxd.it/jhxe,
2,The Wicker Man,1973,https://boxd.it/1KnG,
3,Nosferatu the Vampyre,1979,https://boxd.it/21J0,
4,The Lighthouse,2019,https://boxd.it/icFU,
5,The Witch,2015,https://boxd.it/9X0m,
6,Embrace of the Serpent,2015,https://boxd.it/baba,
7,Kwaidan,1964,https://boxd.it/1kbY,
8,The Wailing,2016,https://boxd.it/9fLy,
9,Exhuma,2024,https://boxd.it/vCu0,
10,The Medium,2021,https://boxd.it/s0oi,
11,Bramayugam,2024,https://boxd.it/Iekc,
