Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-05-20,GIALLO 🔪🥸☎️,,https://boxd.it/H8qWk,

Position,Name,Year,URL,Description
1,Deep Red,1975,https://boxd.it/1E1E,
2,Blood and Black Lace,1964,https://boxd.it/1qme,
3,The Strange Vice of Mrs Wardh,1971,https://boxd.it/1kkw,
4,Four Flies on Grey Velvet,1971,https://boxd.it/1kN4,
5,The Bird with the Crystal Plumage,1970,https://boxd.it/1DDW,
6,The Girl Who Knew Too Much,1963,https://boxd.it/1qou,
7,The Case of the Scorpion's Tail,1971,https://boxd.it/1JDI,
8,What Have You Done to Solange?,1972,https://boxd.it/21uY,
9,Tenebre,1982,https://boxd.it/1mRM,
10,A Bay of Blood,1971,https://boxd.it/232i,
11,Opera,1987,https://boxd.it/1E2M,
12,Your Vice Is a Locked Room and Only I Have the Key,1972,https://boxd.it/2uT4,
