Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-04,guerra nas estrelas,,https://boxd.it/wMbQM,

Position,Name,Year,URL,Description
1,Star Wars,1977,https://boxd.it/72s,
2,The Empire Strikes Back,1980,https://boxd.it/27Vw,
3,Return of the Jedi,1983,https://boxd.it/27Vm,
4,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
5,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
6,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
