Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-07,HORROR,,https://boxd.it/m9Q92,

Position,Name,Year,URL,Description
1,The Shining,1980,https://boxd.it/29Nu,
2,The Lighthouse,2019,https://boxd.it/icFU,
3,Hereditary,2018,https://boxd.it/hNVe,
4,The Exorcist,1973,https://boxd.it/1Yoo,
5,Get Out,2017,https://boxd.it/eOCm,
6,The Witch,2015,https://boxd.it/9X0m,
7,Possession,1981,https://boxd.it/1BPm,
8,Rosemary's Baby,1968,https://boxd.it/29zM,
9,Alien,1979,https://boxd.it/2awY,
10,Midsommar,2019,https://boxd.it/jhxe,
11,Pearl,2022,https://boxd.it/zPbe,
12,Us,2019,https://boxd.it/gnV6,
13,Scream,1996,https://boxd.it/24EC,
14,X,2022,https://boxd.it/sxVa,
15,Scream 4,2011,https://boxd.it/Zmc,
16,The Birds,1963,https://boxd.it/2a6m,
17,Barbarian,2022,https://boxd.it/yohi,
18,Scream 2,1997,https://boxd.it/24Es,
19,Suspiria,1977,https://boxd.it/1SNW,
20,Hour of the Wolf,1968,https://boxd.it/1H9G,
21,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
22,Scream 3,2000,https://boxd.it/24Ei,
