Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-10,hype,,https://boxd.it/j3urY,

Position,Name,Year,URL,Description
1,Beau Is Afraid,2023,https://boxd.it/u2gE,
2,Nosferatu,2024,https://boxd.it/f5eG,
3,Mickey 17,2025,https://boxd.it/q1Dk,
4,Untitled The Batman Sequel,2027,https://boxd.it/umDy,
5,Ferrari,2023,https://boxd.it/cEtq,
6,MaXXXine,2024,https://boxd.it/CIM4,
7,El Conde,2023,https://boxd.it/Bt4O,
8,Inside,2023,https://boxd.it/AagY,
9,Infinity Pool,2023,https://boxd.it/oPSK,
