Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-18,investigação policial,,https://boxd.it/nUUdU,

Position,Name,Year,URL,Description
1,Se7en,1995,https://boxd.it/29zs,
2,Memories of Murder,2003,https://boxd.it/1TSo,
3,Zodiac,2007,https://boxd.it/27MO,
4,BlacKkKlansman,2018,https://boxd.it/hxL8,
5,Gone Girl,2014,https://boxd.it/6hQu,
6,Cure,1997,https://boxd.it/1blA,
7,High and Low,1963,https://boxd.it/1RSc,
8,M,1931,https://boxd.it/29vq,
9,The Silence of the Lambs,1991,https://boxd.it/2aHW,
