Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-05-14,Kubrick por Fotografia,,https://boxd.it/vvQPW,

Position,Name,Year,URL,Description
1,Barry Lyndon,1975,https://boxd.it/25A2,
2,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
3,A Clockwork Orange,1971,https://boxd.it/2aVE,
4,The Shining,1980,https://boxd.it/29Nu,
5,Killer's Kiss,1955,https://boxd.it/1Xcc,
6,Paths of Glory,1957,https://boxd.it/29b6,
7,Eyes Wide Shut,1999,https://boxd.it/2axs,
8,Spartacus,1960,https://boxd.it/29bq,
9,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
10,Full Metal Jacket,1987,https://boxd.it/2a1Q,
11,The Killing,1956,https://boxd.it/2aMi,
12,Lolita,1962,https://boxd.it/29Ag,
