Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-29,Les vampires,,https://boxd.it/pYjgI,

Position,Name,Year,URL,Description
1,What We Do in the Shadows,2014,https://boxd.it/7eQy,
2,Interview with the Vampire,1994,https://boxd.it/29XO,
3,Nosferatu the Vampyre,1979,https://boxd.it/21J0,
4,Dracula,1931,https://boxd.it/2b34,
5,Nosferatu,1922,https://boxd.it/29TM,
6,Bram Stoker's Dracula,1992,https://boxd.it/223a,
7,Shadow of the Vampire,2000,https://boxd.it/1Vb2,
8,Dracula,1958,https://boxd.it/1STA,
9,Dracula,2020,https://boxd.it/ozuM,
