Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-05-14,Luz e sombra,,https://boxd.it/vw6Hk,

Position,Name,Year,URL,Description
1,The Lighthouse,2019,https://boxd.it/icFU,
2,Embrace of the Serpent,2015,https://boxd.it/baba,
3,The White Ribbon,2009,https://boxd.it/17eU,
4,Pi,1998,https://boxd.it/2ajq,
5,Night of the Living Dead,1968,https://boxd.it/1WwA,
6,Hour of the Wolf,1968,https://boxd.it/1H9G,
7,Repulsion,1965,https://boxd.it/1TKu,
8,Alphaville,1965,https://boxd.it/20AG,
9,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
10,High and Low,1963,https://boxd.it/1RSc,
11,Lolita,1962,https://boxd.it/29Ag,
12,The Housemaid,1960,https://boxd.it/WJs,
13,Psycho,1960,https://boxd.it/2ab2,
14,Breathless,1960,https://boxd.it/2aIK,
15,Paths of Glory,1957,https://boxd.it/29b6,
16,The Killing,1956,https://boxd.it/2aMi,
17,Killer's Kiss,1955,https://boxd.it/1Xcc,
18,The Night of the Hunter,1955,https://boxd.it/25HW,
19,Diabolique,1955,https://boxd.it/29we,
20,Strangers on a Train,1951,https://boxd.it/29tk,
21,Notorious,1946,https://boxd.it/2aDK,
22,Spellbound,1945,https://boxd.it/24Ji,
23,Double Indemnity,1944,https://boxd.it/297I,
24,Citizen Kane,1941,https://boxd.it/71O,
25,Rebecca,1940,https://boxd.it/2aQa,
26,Bride of Frankenstein,1935,https://boxd.it/2aPc,
27,The Invisible Man,1933,https://boxd.it/1VoK,
28,Frankenstein,1931,https://boxd.it/25Te,
29,M,1931,https://boxd.it/29vq,
30,Dracula,1931,https://boxd.it/2b34,
31,Nosferatu,1922,https://boxd.it/29TM,
32,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,
33,Shadow of a Doubt,1943,https://boxd.it/1BtA,
34,The Maltese Falcon,1941,https://boxd.it/29c4,
35,Sunset Boulevard,1950,https://boxd.it/2a20,
36,Persona,1966,https://boxd.it/29B4,
37,Laura,1944,https://boxd.it/27Oq,
38,Bunny Lake Is Missing,1965,https://boxd.it/27NW,
39,The Third Man,1949,https://boxd.it/294E,
40,Sherlock Jr.,1924,https://boxd.it/298m,
