Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-18,mav movies,,https://boxd.it/nUUUk,"mulheres
mulheres (malu)cas assassinas possuídas mulheres lelés da cuca"

Position,Name,Year,URL,Description
1,Hereditary,2018,https://boxd.it/hNVe,
2,Midsommar,2019,https://boxd.it/jhxe,
3,Us,2019,https://boxd.it/gnV6,
4,Get Out,2017,https://boxd.it/eOCm,
5,Barbarian,2022,https://boxd.it/yohi,
6,Gone Girl,2014,https://boxd.it/6hQu,
7,The Witch,2015,https://boxd.it/9X0m,
8,X,2022,https://boxd.it/sxVa,
9,Pearl,2022,https://boxd.it/zPbe,
10,Saint Maud,2019,https://boxd.it/l8QA,
11,Breathless,1960,https://boxd.it/2aIK,
12,Possession,1981,https://boxd.it/1BPm,
13,Infinity Pool,2023,https://boxd.it/oPSK,
14,Diabolique,1955,https://boxd.it/29we,
15,Carrie,1976,https://boxd.it/20ZQ,
16,Decision to Leave,2022,https://boxd.it/qp9e,
