Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-18,melhores filmes de cada ano q eu existo,,https://boxd.it/nUTt8,2005-2023 (em ordem de ano)

Position,Name,Year,URL,Description
1,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,
2,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,
3,Zodiac,2007,https://boxd.it/27MO,
4,The White Ribbon,2009,https://boxd.it/17eU,
5,The Social Network,2010,https://boxd.it/17ue,
6,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,
7,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk,
8,Enemy,2013,https://boxd.it/5xtO,
9,Interstellar,2014,https://boxd.it/4VZ8,
10,The Witch,2015,https://boxd.it/9X0m,
11,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
12,Get Out,2017,https://boxd.it/eOCm,
13,Hereditary,2018,https://boxd.it/hNVe,
14,Parasite,2019,https://boxd.it/hTha,
