Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-09,não misture roupa colorida com as brancas,,https://boxd.it/j2RVA,ja vi ou vou ver a qualquer momento.

Position,Name,Year,URL,Description
1,A Clockwork Orange,1971,https://boxd.it/2aVE,
2,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
3,Get Out,2017,https://boxd.it/eOCm,
4,The Lobster,2015,https://boxd.it/7tnw,
5,On the Count of Three,2021,https://boxd.it/tbfI,
6,Ford v Ferrari,2019,https://boxd.it/ce74,
7,Don't Look Up,2021,https://boxd.it/o0Hc,
8,Saint Maud,2019,https://boxd.it/l8QA,
9,Dogville,2003,https://boxd.it/2a8W,
10,Bacurau,2019,https://boxd.it/fSUG,
11,Dogtooth,2009,https://boxd.it/158K,
12,Catch Me If You Can,2002,https://boxd.it/29VS,
13,Adaptation.,2002,https://boxd.it/26mA,
14,Full Metal Jacket,1987,https://boxd.it/2a1Q,
