Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-08-31,pale blue eyes,,https://boxd.it/oTDFY,

Position,Name,Year,URL,Description
1,Barbie,2023,https://boxd.it/bCLK,
2,Nope,2022,https://boxd.it/sDCe,
3,The Platform,2019,https://boxd.it/mUm6,
4,Under the Silver Lake,2018,https://boxd.it/dSAs,
5,Annihilation,2018,https://boxd.it/9yzm,
6,The Wailing,2016,https://boxd.it/9fLy,
7,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,
8,The Evil Dead,1981,https://boxd.it/29Go,
9,The Truman Show,1998,https://boxd.it/18U8,
10,Stalker,1979,https://boxd.it/28PO,
11,Jaws,1975,https://boxd.it/2a5e,
