Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-06-07,P&B,,https://boxd.it/naz4U,fotografia 😶‍🌫️

Position,Name,Year,URL,Description
1,Strangers on a Train,1951,https://boxd.it/29tk,
2,The Lighthouse,2019,https://boxd.it/icFU,
3,Night of the Living Dead,1968,https://boxd.it/1WwA,
4,Diabolique,1955,https://boxd.it/29we,
5,Psycho,1960,https://boxd.it/2ab2,
6,Hour of the Wolf,1968,https://boxd.it/1H9G,
7,M,1931,https://boxd.it/29vq,
8,Breathless,1960,https://boxd.it/2aIK,
9,The White Ribbon,2009,https://boxd.it/17eU,
