Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-26,pensando,,https://boxd.it/ssmg0,

Position,Name,Year,URL,Description
1,Get Out,2017,https://boxd.it/eOCm,
2,Midsommar,2019,https://boxd.it/jhxe,
3,The Witch,2015,https://boxd.it/9X0m,
4,Possession,1981,https://boxd.it/1BPm,
5,Decision to Leave,2022,https://boxd.it/qp9e,
6,Diabolique,1955,https://boxd.it/29we,
7,Gone Girl,2014,https://boxd.it/6hQu,
8,Us,2019,https://boxd.it/gnV6,
9,X,2022,https://boxd.it/sxVa,
10,Pearl,2022,https://boxd.it/zPbe,
11,Carrie,1976,https://boxd.it/20ZQ,
12,Misery,1990,https://boxd.it/28gY,
13,Repulsion,1965,https://boxd.it/1TKu,
14,A Wolf at the Door,2013,https://boxd.it/6nHy,
15,Reflections of a Blender,2010,https://boxd.it/4YgA,
16,The Housemaid,1960,https://boxd.it/WJs,
