Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-05-29,Run the night!!,,https://boxd.it/vR6xG,

Position,Name,Year,URL,Description
1,Uncut Gems,2019,https://boxd.it/gXGc,
2,Good Time,2017,https://boxd.it/fcFu,
3,Chungking Express,1994,https://boxd.it/1UDa,
4,After Hours,1985,https://boxd.it/1VfS,
5,Taxi Driver,1976,https://boxd.it/2b8y,
6,Mean Streets,1973,https://boxd.it/2aSU,
7,Fallen Angels,1995,https://boxd.it/1UkW,
8,Pulp Fiction,1994,https://boxd.it/29Pq,
9,Alphaville,1965,https://boxd.it/20AG,
10,The Apartment,1960,https://boxd.it/2aGE,
11,Breathless,1960,https://boxd.it/2aIK,
