Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-14,semanalu,,https://boxd.it/t1ilg,

Position,Name,Year,URL,Description
1,Life of Brian,1979,https://boxd.it/2a4q,
2,Inland Empire,2006,https://boxd.it/28d6,
3,Prince of Darkness,1987,https://boxd.it/1ZKq,
4,In the Mouth of Madness,1994,https://boxd.it/26vi,
5,Dawn of the Dead,1978,https://boxd.it/29gU,
6,Day of the Dead,1985,https://boxd.it/20dM,
7,Good Time,2017,https://boxd.it/fcFu,
8,The Thing,1982,https://boxd.it/294O,
9,Santa Sangre,1989,https://boxd.it/1FrI,
10,The Devils,1971,https://boxd.it/1inI,
