Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-15,Showdown: long films,showdown:long,https://boxd.it/BekMw,

Position,Name,Year,URL,Description
1,Prisoners,2013,https://boxd.it/4E5i,
2,Inglourious Basterds,2009,https://boxd.it/1JzG,
3,Amadeus,1984,https://boxd.it/2aH8,
4,Scarface,1983,https://boxd.it/2b7g,
5,The Batman,2022,https://boxd.it/eDGs,
6,Casino,1995,https://boxd.it/2ads,
7,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
8,Barry Lyndon,1975,https://boxd.it/25A2,
9,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
10,World on a Wire,1973,https://boxd.it/B9me,
11,Boogie Nights,1997,https://boxd.it/23um,
12,Eyes Wide Shut,1999,https://boxd.it/2axs,
13,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
14,Django Unchained,2012,https://boxd.it/2cCk,
15,Dune: Part Two,2024,https://boxd.it/pUfA,
16,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
17,The Hateful Eight,2015,https://boxd.it/8gw8,
18,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
