Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-10,sou emo não me faça rir,,https://boxd.it/j3sNI,ja vi ou vou ver a qualquer momento.

Position,Name,Year,URL,Description
1,The Batman,2022,https://boxd.it/eDGs,
2,Uncut Gems,2019,https://boxd.it/gXGc,
3,The Lighthouse,2019,https://boxd.it/icFU,
4,A Ghost Story,2017,https://boxd.it/fb0K,
5,The Witch,2015,https://boxd.it/9X0m,
6,Ex Machina,2015,https://boxd.it/7T2k,
7,The White Ribbon,2009,https://boxd.it/17eU,
8,Being John Malkovich,1999,https://boxd.it/2ahu,
9,Suspiria,1977,https://boxd.it/1SNW,
10,It Comes at Night,2017,https://boxd.it/eLuk,
11,Hour of the Wolf,1968,https://boxd.it/1H9G,
12,The Vanishing,1988,https://boxd.it/1ZTW,
13,Possession,1981,https://boxd.it/1BPm,
14,Bram Stoker's Dracula,1992,https://boxd.it/223a,
15,The Exorcist,1973,https://boxd.it/1Yoo,
16,The Ear,1970,https://boxd.it/38Sg,
17,Halloween,1978,https://boxd.it/2wRu,
