Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-07,SUSPENSE/THRILLER,,https://boxd.it/m9QAs,

Position,Name,Year,URL,Description
1,Vertigo,1958,https://boxd.it/2apI,
2,Psycho,1960,https://boxd.it/2ab2,
3,The Vanishing,1988,https://boxd.it/1ZTW,
4,Diabolique,1955,https://boxd.it/29we,
5,Eyes Wide Shut,1999,https://boxd.it/2axs,
6,The Batman,2022,https://boxd.it/eDGs,
7,Ex Machina,2015,https://boxd.it/7T2k,
8,Bacurau,2019,https://boxd.it/fSUG,
9,North by Northwest,1959,https://boxd.it/2aRM,
10,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
11,Frenzy,1972,https://boxd.it/2a62,
12,The Wicker Man,1973,https://boxd.it/1KnG,
13,Rear Window,1954,https://boxd.it/2a6Q,
14,Nightcrawler,2014,https://boxd.it/780m,
15,Enemy,2013,https://boxd.it/5xtO,
16,Nope,2022,https://boxd.it/sDCe,
17,The Platform,2019,https://boxd.it/mUm6,
18,Dial M for Murder,1954,https://boxd.it/2adW,
19,Rope,1948,https://boxd.it/28yo,
20,The Menu,2022,https://boxd.it/lScm,
21,American Psycho,2000,https://boxd.it/28Vs,
22,Green Room,2015,https://boxd.it/a75m,
23,10 Cloverfield Lane,2016,https://boxd.it/aZiu,
24,Men,2022,https://boxd.it/tlc0,
25,Fresh,2022,https://boxd.it/tCNi,
26,Spree,2020,https://boxd.it/oiiO,
27,Fractured,2019,https://boxd.it/kPL2,
28,Infinity Pool,2023,https://boxd.it/oPSK,
