Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-18,TOP10 - COMEDY,,https://boxd.it/pLZaQ,

Position,Name,Year,URL,Description
1,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
2,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
3,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
4,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
5,Triangle of Sadness,2022,https://boxd.it/hXlq,
6,Jojo Rabbit,2019,https://boxd.it/iEBG,
7,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,
8,The King of Comedy,1982,https://boxd.it/2aJS,
9,After Hours,1985,https://boxd.it/1VfS,
10,The Truman Show,1998,https://boxd.it/18U8,
