Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-18,TOP10 - HORROR,,https://boxd.it/pLYWu,

Position,Name,Year,URL,Description
1,The Shining,1980,https://boxd.it/29Nu,
2,The Lighthouse,2019,https://boxd.it/icFU,
3,Hereditary,2018,https://boxd.it/hNVe,
4,Possession,1981,https://boxd.it/1BPm,
5,Psycho,1960,https://boxd.it/2ab2,
6,Midsommar,2019,https://boxd.it/jhxe,
7,The Witch,2015,https://boxd.it/9X0m,
8,Halloween,1978,https://boxd.it/2wRu,
9,Diabolique,1955,https://boxd.it/29we,
10,Scream,1996,https://boxd.it/24EC,
