Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-18,TOP10 - THRILLER,,https://boxd.it/pLYYA,

Position,Name,Year,URL,Description
1,Vertigo,1958,https://boxd.it/2apI,
2,North by Northwest,1959,https://boxd.it/2aRM,
3,Se7en,1995,https://boxd.it/29zs,
4,Shutter Island,2010,https://boxd.it/1U82,
5,Memories of Murder,2003,https://boxd.it/1TSo,
6,Get Out,2017,https://boxd.it/eOCm,
7,Strangers on a Train,1951,https://boxd.it/29tk,
8,The Vanishing,1988,https://boxd.it/1ZTW,
9,Mulholland Drive,2001,https://boxd.it/297o,
10,Eyes Wide Shut,1999,https://boxd.it/2axs,
