Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-13,Trilogia,"allstats, liststats",https://boxd.it/t05QS,"Sem história única ou os mesmos personagens, mas sim trilogias temáticas com ideias exploradas por um único diretor! Vingança, apartamentos, mentes deturpadas, zumbis e etc.

Because why double feature when you can triple feature?"

Position,Name,Year,URL,Description
1,Lost Highway,1997,https://boxd.it/29Wc,
2,Mulholland Drive,2001,https://boxd.it/297o,
3,Inland Empire,2006,https://boxd.it/28d6,
4,Repulsion,1965,https://boxd.it/1TKu,
5,Rosemary's Baby,1968,https://boxd.it/29zM,
6,The Tenant,1976,https://boxd.it/1TKk,
7,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,
8,Oldboy,2003,https://boxd.it/29R2,
9,Lady Vengeance,2005,https://boxd.it/248G,
10,The Thing,1982,https://boxd.it/294O,
11,Prince of Darkness,1987,https://boxd.it/1ZKq,
12,In the Mouth of Madness,1994,https://boxd.it/26vi,
13,Night of the Living Dead,1968,https://boxd.it/1WwA,
14,Dawn of the Dead,1978,https://boxd.it/29gU,
15,Day of the Dead,1985,https://boxd.it/20dM,
