Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-08-31,vermelho como sangue,,https://boxd.it/oTDdA,

Position,Name,Year,URL,Description
1,Dial M for Murder,1954,https://boxd.it/2adW,
2,Rear Window,1954,https://boxd.it/2a6Q,
3,Blow-Up,1966,https://boxd.it/2966,
4,Her,2013,https://boxd.it/4O24,
5,Us,2019,https://boxd.it/gnV6,
6,Jojo Rabbit,2019,https://boxd.it/iEBG,
7,The Green Knight,2021,https://boxd.it/kuy2,
8,Barbarian,2022,https://boxd.it/yohi,
9,Infinity Pool,2023,https://boxd.it/oPSK,
10,The Boogeyman,2023,https://boxd.it/jnna,
