Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-10-24,Watchwatchlist,,https://boxd.it/zOPCQ,

Position,Name,Year,URL,Description
1,Scarface,1932,https://boxd.it/29oa,
2,Pierrot le Fou,1965,https://boxd.it/26j2,
3,Weekend,1967,https://boxd.it/20Ac,
4,Kiss Me Deadly,1955,https://boxd.it/1HHe,
5,Kind Hearts and Coronets,1949,https://boxd.it/1SPe,
6,Carnival of Souls,1962,https://boxd.it/1KQ4,
7,The Celebration,1998,https://boxd.it/2aCM,
8,Night of the Demon,1957,https://boxd.it/1woA,
9,Witchfinder General,1968,https://boxd.it/1i1s,
10,The White Reindeer,1952,https://boxd.it/2ZGU,
11,Once Upon a Time in the West,1968,https://boxd.it/2az4,
12,A Field in England,2013,https://boxd.it/5tmk,
13,Dracula,1979,https://boxd.it/1fk2,
14,Dracula Untold,2014,https://boxd.it/H4u,
15,Count Dracula,1970,https://boxd.it/22S8,
