Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-09-12,The Shining,1980,https://boxd.it/3dutbN,5,,80s,2022-07-01
2022-09-12,American Psycho,2000,https://boxd.it/3dutmr,3.5,,00s,2022-07-01
2022-10-16,Spree,2020,https://boxd.it/3kmFGF,2.5,,'20s,2022-07-02
2022-09-12,A Clockwork Orange,1971,https://boxd.it/3dutD3,5,,70s,2022-07-29
2022-09-12,2001: A Space Odyssey,1968,https://boxd.it/3dutZj,5,,60s,2022-07-29
2022-09-12,Blade Runner,1982,https://boxd.it/3duunZ,5,,80s,2022-07-30
2022-09-12,Blade Runner 2049,2017,https://boxd.it/3duutN,3.5,,'10s,2022-07-30
2022-09-12,Everything Everywhere All at Once,2022,https://boxd.it/3duyiJ,5,,'20s,2022-07-31
2022-09-12,The Witch,2015,https://boxd.it/3duyZX,4.5,,'10s,2022-08-20
2022-09-16,The Shining,1980,https://boxd.it/3efxk9,5,Yes,80s,2022-08-20
2022-09-12,Us,2019,https://boxd.it/3duzwH,4,,'10s,2022-08-26
2022-09-12,Nope,2022,https://boxd.it/3duzTr,3.5,,'20s,2022-09-07
2022-12-20,Nathan for You: Finding Frances,2017,https://boxd.it/3ypCHR,4.5,,'10s,2022-09-07
2022-09-12,The Truman Show,1998,https://boxd.it/3duzOh,4,,90s,2022-09-08
2022-09-12,Midsommar,2019,https://boxd.it/3duzZp,4,,'10s,2022-09-10
2022-09-12,Hereditary,2018,https://boxd.it/3duA3L,4.5,,'10s,2022-09-10
2022-09-12,The Killing of a Sacred Deer,2017,https://boxd.it/3duA7t,4,,'10s,2022-09-10
2022-09-12,Get Out,2017,https://boxd.it/3dzVZr,4.5,Yes,'10s,2022-09-10
2022-09-12,The Lighthouse,2019,https://boxd.it/3dvV5F,5,,'10s,2022-09-11
2022-09-12,The Lobster,2015,https://boxd.it/3dBVqv,3,,'10s,2022-09-11
2022-09-13,The Lighthouse,2019,https://boxd.it/3dN4aX,5,Yes,'10s,2022-09-12
2022-10-11,Men,2022,https://boxd.it/3jktld,3,,'20s,2022-10-10
2022-10-11,mother!,2017,https://boxd.it/3jmCsV,4,,'10s,2022-10-10
2022-10-11,Green Room,2015,https://boxd.it/3jpmhN,3.5,,'10s,2022-10-10
2022-10-12,X,2022,https://boxd.it/3jwWsL,4,,'20s,2022-10-11
2022-10-12,Good Time,2017,https://boxd.it/3jBbTZ,4.5,,'10s,2022-10-11
2022-10-14,mother!,2017,https://boxd.it/3jWwVJ,4,Yes,"w/ mav, '10s",2022-10-13
2022-10-15,Ex Machina,2015,https://boxd.it/3k51Id,4.5,,'10s,2022-10-14
2022-10-15,A Ghost Story,2017,https://boxd.it/3kcJCd,4,,'10s,2022-10-14
2022-10-15,Suspiria,1977,https://boxd.it/3keju7,3,,70s,2022-10-14
2022-10-16,Uncut Gems,2019,https://boxd.it/3kqIjx,3.5,Yes,'10s,2022-10-15
2022-10-17,Rosemary's Baby,1968,https://boxd.it/3kyvuN,4,,60s,2022-10-16
2022-10-18,Stalker,1979,https://boxd.it/3kQWTh,3,,70s,2022-10-17
2022-10-19,The White Ribbon,2009,https://boxd.it/3l7vmJ,4,,00s,2022-10-18
2022-10-21,Parasite,2019,https://boxd.it/3lp9TH,5,Yes,"w/ mav, '10s",2022-10-20
2022-10-22,Psycho,1960,https://boxd.it/3lDZoJ,5,,60s,2022-10-21
2023-04-25,Barbarian,2022,https://boxd.it/4agd8h,3,,'20s,2022-10-29
