Date,Name,Year,Letterboxd URI
2023-07-18,Parasite,2019,https://boxd.it/hTha
2023-07-18,The Batman,2022,https://boxd.it/eDGs
2023-07-18,The Shining,1980,https://boxd.it/29Nu
2023-07-18,The Lighthouse,2019,https://boxd.it/icFU
2023-07-18,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2023-07-18,Hereditary,2018,https://boxd.it/hNVe
2023-07-18,Ex Machina,2015,https://boxd.it/7T2k
2023-07-18,Good Time,2017,https://boxd.it/fcFu
2023-07-18,Se7en,1995,https://boxd.it/29zs
2023-07-20,North by Northwest,1959,https://boxd.it/2aRM
2024-01-04,mother!,2017,https://boxd.it/dgRU
2024-01-04,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2024-01-04,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2024-01-07,Nathan for You: Finding Frances,2017,https://boxd.it/hufy
2024-01-26,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-01-26,Prisoners,2013,https://boxd.it/4E5i
2024-01-26,Vertigo,1958,https://boxd.it/2apI
2024-01-26,Apocalypse Now,1979,https://boxd.it/6ZS
2024-01-26,Blade Runner,1982,https://boxd.it/2bcA
2024-01-26,Amadeus,1984,https://boxd.it/2aH8
2024-01-26,The Witch,2015,https://boxd.it/9X0m
2024-01-26,Possession,1981,https://boxd.it/1BPm
2024-01-26,Monty Python and the Holy Grail,1975,https://boxd.it/29GI
2024-01-26,Night of the Living Dead,1968,https://boxd.it/1WwA
2024-01-26,Strangers on a Train,1951,https://boxd.it/29tk
2024-01-26,Bacurau,2019,https://boxd.it/fSUG
2024-01-26,Diabolique,1955,https://boxd.it/29we
2024-01-26,X,2022,https://boxd.it/sxVa
2024-01-26,Enemy,2013,https://boxd.it/5xtO
2024-01-26,The King of Comedy,1982,https://boxd.it/2aJS
2024-01-26,The Wicker Man,1973,https://boxd.it/1KnG
2024-01-26,The Conversation,1974,https://boxd.it/2a38
2024-01-26,Psycho,1960,https://boxd.it/2ab2
2024-01-30,PlayTime,1967,https://boxd.it/1WLK
2024-01-31,Barry Lyndon,1975,https://boxd.it/25A2
2024-02-02,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo
2024-02-19,World on a Wire,1973,https://boxd.it/B9me
2024-03-14,The Web,2013,https://boxd.it/cjy0
2024-03-17,The Holy Mountain,1973,https://boxd.it/20mu
2024-03-29,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG
2024-05-13,A Clockwork Orange,1971,https://boxd.it/2aVE
2024-05-13,Eyes Wide Shut,1999,https://boxd.it/2axs
2024-05-14,What We Do in the Shadows,2014,https://boxd.it/7eQy
2024-05-14,The Nice Guys,2016,https://boxd.it/94Hg
2024-06-18,Deep Red,1975,https://boxd.it/1E1E
2024-07-08,Scarface,1983,https://boxd.it/2b7g
2024-07-09,The House of the Devil,2009,https://boxd.it/1uIe
2024-07-10,Halloween,1978,https://boxd.it/2wRu
2024-07-12,Punch-Drunk Love,2002,https://boxd.it/20E4
2024-08-14,Uncut Gems,2019,https://boxd.it/gXGc
2024-08-14,Boogie Nights,1997,https://boxd.it/23um
2024-09-08,Bunny Lake Is Missing,1965,https://boxd.it/27NW
2024-09-17,Ren Faire,2024,https://boxd.it/MsUc
2024-09-22,Evil Dead II,1987,https://boxd.it/29Ge
2024-09-23,SPERMWORLD,2024,https://boxd.it/IE5C
2024-09-23,After Hours,1985,https://boxd.it/1VfS
2024-09-23,The Exorcist,1973,https://boxd.it/1Yoo
2024-09-23,The Thing,1982,https://boxd.it/294O
2024-10-08,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk
2024-10-10,Alien,1979,https://boxd.it/2awY
2024-10-10,The Vanishing,1988,https://boxd.it/1ZTW
2024-10-10,Charcoal,2022,https://boxd.it/wVge
2024-10-11,Dog Day Afternoon,1975,https://boxd.it/29bg
2024-10-13,Westworld,1973,https://boxd.it/26RS
2024-10-13,The Andromeda Strain,1971,https://boxd.it/1W4Q
2024-11-26,Creepy,2016,https://boxd.it/dfd0
2024-11-27,Impetigore,2019,https://boxd.it/l1fs
2024-11-27,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2024-11-27,Caché,2005,https://boxd.it/2amY
2024-11-30,"São Paulo, Incorporated",1965,https://boxd.it/2BaA
2024-12-04,Dial M for Murder,1954,https://boxd.it/2adW
2024-12-12,The Disaster Artist,2017,https://boxd.it/cTqc
2024-12-13,Grand Prix,1966,https://boxd.it/1DzK
2024-12-27,Paths of Glory,1957,https://boxd.it/29b6
2025-01-04,Nosferatu,2024,https://boxd.it/f5eG
2025-01-09,The Third Man,1949,https://boxd.it/294E
2025-01-10,First Reformed,2017,https://boxd.it/go9C
2025-01-10,Where the Sidewalk Ends,1950,https://boxd.it/1IYq
2025-01-10,Christine,1983,https://boxd.it/1ZRQ
2025-01-10,The Hateful Eight,2015,https://boxd.it/8gw8
2025-01-10,Django Unchained,2012,https://boxd.it/2cCk
2025-01-10,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2025-01-12,Four Flies on Grey Velvet,1971,https://boxd.it/1kN4
2025-01-15,Trafic,1971,https://boxd.it/1TZu
2025-01-22,Until the End of the World,1991,https://boxd.it/1WuY
2025-01-25,A Different Man,2024,https://boxd.it/BoEC
2025-01-28,Green Porno,2008,https://boxd.it/UBrO
2025-01-28,Seduce Me,2010,https://boxd.it/MYb4
2025-01-28,Toll,2023,https://boxd.it/yQpO
2025-01-29,Shine Your Eyes,2020,https://boxd.it/opwI
2025-03-07,Kwaidan,1964,https://boxd.it/1kbY
2025-03-07,Kuroneko,1968,https://boxd.it/12mE
2025-03-26,A Short Story,2022,https://boxd.it/zDD6
2025-04-14,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw
2025-04-27,The Fearless Vampire Killers,1967,https://boxd.it/25Ri
2025-04-27,The Saragossa Manuscript,1965,https://boxd.it/1ZPA
2025-05-05,Notorious,1946,https://boxd.it/2aDK
2025-05-11,Foreign Correspondent,1940,https://boxd.it/1vlA
2025-05-19,The Girl Who Knew Too Much,1963,https://boxd.it/1qou
2025-05-19,The Bird with the Crystal Plumage,1970,https://boxd.it/1DDW
2025-05-25,All the Colours of the Dark,1972,https://boxd.it/1kkQ
2025-05-27,The Strange Vice of Mrs Wardh,1971,https://boxd.it/1kkw
2025-06-22,Twin Peaks,1989,https://boxd.it/g8pk
2025-06-28,Blood and Black Lace,1964,https://boxd.it/1qme
2025-06-30,Minority Report,2002,https://boxd.it/2aWi
2025-07-01,Some Like It Hot,1959,https://boxd.it/2aNA
2025-07-22,This Night I'll Possess Your Corpse,1967,https://boxd.it/1kj4
2025-07-22,The Awakening of the Beast,1970,https://boxd.it/3d62
2025-07-25,The Naked City,1948,https://boxd.it/1DpU
2025-08-11,Laura,1944,https://boxd.it/27Oq
2025-08-25,Licorice Pizza,2021,https://boxd.it/qTKY
2025-09-15,Excitation,1977,https://boxd.it/5SPG
