Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-08-26,2024,top2024,https://boxd.it/yeBXY,

Position,Name,Year,URL,Description
1,The Girl with the Needle,2024,https://boxd.it/KQ3M,
2,I'm Still Here,2024,https://boxd.it/BPEO,
3,Nosferatu,2024,https://boxd.it/f5eG,
4,Dune: Part Two,2024,https://boxd.it/pUfA,
5,The Brutalist,2024,https://boxd.it/k4BO,
6,Bramayugam,2024,https://boxd.it/Iekc,
7,The Seed of the Sacred Fig,2024,https://boxd.it/MKo4,
8,A Different Man,2024,https://boxd.it/BoEC,
9,Conclave,2024,https://boxd.it/AO8q,
10,Exhuma,2024,https://boxd.it/vCu0,
11,The Substance,2024,https://boxd.it/zanS,
12,Motel Destino,2024,https://boxd.it/HXMo,
13,Juror #2,2024,https://boxd.it/FRwU,
14,The Devil's Bath,2024,https://boxd.it/z7to,
15,The First Omen,2024,https://boxd.it/fx08,
16,Longlegs,2024,https://boxd.it/KzLM,
17,Alien: Romulus,2024,https://boxd.it/zGqO,
18,SPERMWORLD,2024,https://boxd.it/IE5C,
19,Ren Faire,2024,https://boxd.it/MsUc,
20,I Saw the TV Glow,2024,https://boxd.it/woVe,
21,In a Violent Nature,2024,https://boxd.it/K5eI,
22,Monkey Man,2024,https://boxd.it/kvsO,
23,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/vDNs,
24,Cloud,2024,https://boxd.it/LhR0,
25,Late Night with the Devil,2023,https://boxd.it/zo6G,
26,Problemista,2023,https://boxd.it/waGO,
27,Heretic,2024,https://boxd.it/H1lY,
28,Apartment 7A,2024,https://boxd.it/uock,
29,MaXXXine,2024,https://boxd.it/CIM4,
30,Chime,2024,https://boxd.it/KiS2,
31,Spaceman,2024,https://boxd.it/nC20,
32,Megalopolis,2024,https://boxd.it/lPBS,
33,Uzumaki,2024,https://boxd.it/nimO,
34,The Platform 2,2024,https://boxd.it/Gz88,
