Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-03-05,by Bava,,https://boxd.it/EMfQI,

Position,Name,Year,URL,Description
1,Blood and Black Lace,1964,https://boxd.it/1qme,
2,Black Sunday,1960,https://boxd.it/1rlG,
3,The Girl Who Knew Too Much,1963,https://boxd.it/1qou,
4,Black Sabbath,1963,https://boxd.it/1qoa,
5,Five Dolls for an August Moon,1970,https://boxd.it/1qmS,
6,A Bay of Blood,1971,https://boxd.it/232i,
7,Baron Blood,1972,https://boxd.it/232s,
8,The Whip and the Body,1963,https://boxd.it/1rl2,
9,Hatchet for the Honeymoon,1970,https://boxd.it/1qn2,
10,"Kill, Baby... Kill!",1966,https://boxd.it/1qnc,
