Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-02-04,by Hitchcock,,https://boxd.it/l1Dac,

Position,Name,Year,URL,Description
1,Vertigo,1958,https://boxd.it/2apI,
2,North by Northwest,1959,https://boxd.it/2aRM,
3,Psycho,1960,https://boxd.it/2ab2,
4,Strangers on a Train,1951,https://boxd.it/29tk,
5,Notorious,1946,https://boxd.it/2aDK,
6,Dial M for Murder,1954,https://boxd.it/2adW,
7,Spellbound,1945,https://boxd.it/24Ji,
8,Foreign Correspondent,1940,https://boxd.it/1vlA,
9,I Confess,1953,https://boxd.it/1lPK,
10,Rear Window,1954,https://boxd.it/2a6Q,
11,The Wrong Man,1956,https://boxd.it/1AqK,
12,Rope,1948,https://boxd.it/28yo,
13,Under Capricorn,1949,https://boxd.it/24J8,
14,Shadow of a Doubt,1943,https://boxd.it/1BtA,
15,The Birds,1963,https://boxd.it/2a6m,
16,Suspicion,1941,https://boxd.it/1TNo,
17,Frenzy,1972,https://boxd.it/2a62,
18,The 39 Steps,1935,https://boxd.it/2aKc,
19,The Lady Vanishes,1938,https://boxd.it/29ea,
20,To Catch a Thief,1955,https://boxd.it/2avm,
21,Rebecca,1940,https://boxd.it/2aQa,
22,Marnie,1964,https://boxd.it/2afe,
23,The Man Who Knew Too Much,1956,https://boxd.it/2a5S,
24,Stage Fright,1950,https://boxd.it/27Is,
