Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-14,by PTA,,https://boxd.it/x2ENE,

Position,Name,Year,URL,Description
1,Boogie Nights,1997,https://boxd.it/23um,
2,Punch-Drunk Love,2002,https://boxd.it/20E4,
3,Magnolia,1999,https://boxd.it/2aze,
4,One Battle After Another,2025,https://boxd.it/DUHM,
5,Licorice Pizza,2021,https://boxd.it/qTKY,
6,There Will Be Blood,2007,https://boxd.it/20Z2,
7,Hard Eight,1996,https://boxd.it/20DU,
8,Phantom Thread,2017,https://boxd.it/e4uc,
9,Inherent Vice,2014,https://boxd.it/5hla,
10,The Master,2012,https://boxd.it/2cBG,
