Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-08-28,Coleção digital,,https://boxd.it/O7msm,"Atualizado frequentemente e disponível no <a href=""https://drive.google.com/drive/folders/15gHTto3F1WW2sAvP-uAl6cS8_XXejWkC"">Drive</a>

Em destaque:<blockquote><b>Sci-fi!</b></blockquote>"

Position,Name,Year,URL,Description
1,The Decameron,1971,https://boxd.it/1fdq,
2,The Canterbury Tales,1972,https://boxd.it/22Ky,
3,Arabian Nights,1974,https://boxd.it/KO6,
4,Oedipus Rex,1967,https://boxd.it/WgK,
5,Medea,1969,https://boxd.it/1u1Y,
6,Theorem,1968,https://boxd.it/237C,
7,The Gospel According to St. Matthew,1964,https://boxd.it/1y7c,
8,Love Meetings,1964,https://boxd.it/W9Y,
9,Pigsty,1969,https://boxd.it/HR2,
10,One on Top of the Other,1969,https://boxd.it/2wys,
11,Don't Torture a Duckling,1972,https://boxd.it/Gfc,
12,A Special Day,1977,https://boxd.it/Xqc,
13,The Long Hair of Death,1964,https://boxd.it/2USc,
14,Five Dolls for an August Moon,1970,https://boxd.it/1qmS,
15,The Possessed,1965,https://boxd.it/3xFm,
16,The Suspicious Death of a Minor,1975,https://boxd.it/2N4a,
17,The Cat o' Nine Tails,1971,https://boxd.it/1rPm,
18,Journey to Italy,1954,https://boxd.it/26o2,
19,The Overcoat,1952,https://boxd.it/3gQM,
20,Carpet Cowboys,2023,https://boxd.it/HDEO,
21,Jodorowsky's Dune,2013,https://boxd.it/5MP6,
22,Man on Wire,2008,https://boxd.it/1ORK,
23,Senna,2010,https://boxd.it/kfE,
24,Adaptation.,2002,https://boxd.it/26mA,
25,Benny's Video,1992,https://boxd.it/27Hk,Legendas: Português
26,Ferrari,2023,https://boxd.it/cEtq,
27,Kinds of Kindness,2024,https://boxd.it/CWPw,
28,The Bad Sleep Well,1960,https://boxd.it/1iLA,
29,The Draughtsman's Contract,1982,https://boxd.it/1VhO,
30,The Elephant Man,1980,https://boxd.it/27LQ,
31,The Magician,1958,https://boxd.it/1nse,
32,The Eve of Ivan Kupalo,1968,https://boxd.it/7WVW,
33,Wild at Heart,1990,https://boxd.it/2aii,
34,Beauty and the Beast,1978,https://boxd.it/2tKA,
35,Tenderness of the Wolves,1973,https://boxd.it/4bzS,
36,Decoder,1984,https://boxd.it/3bUE,
37,Kamikaze '89,1982,https://boxd.it/1RAM,
38,Outland,1981,https://boxd.it/1W0E,
39,The War of the Worlds,1953,https://boxd.it/1Zta,
40,Force of the Senses,1978,https://boxd.it/aVTw,
41,Carlito's Way,1993,https://boxd.it/226e,
42,The American Soldier,1970,https://boxd.it/ISK,
43,Images,1972,https://boxd.it/1nsS,
44,Manhunter,1986,https://boxd.it/1TOw,
45,Mystic River,2003,https://boxd.it/2aAG,
46,The Insider,1999,https://boxd.it/1ZoE,
47,The Lighthouse,2019,https://boxd.it/icFU,
48,The Wrong Man,1956,https://boxd.it/1AqK,
49,Thief,1981,https://boxd.it/1TEc,
50,Before We Vanish,2017,https://boxd.it/fSUQ,
51,Witchfinder General,1968,https://boxd.it/1i1s,
52,The Italian Job,1969,https://boxd.it/1W1i,
53,Leviathan,2014,https://boxd.it/7Ub8,
54,Hercules in the Haunted World,1961,https://boxd.it/1qlU,
55,The Joke,1969,https://boxd.it/3A8q,
56,Electric Dragon 80000V,2001,https://boxd.it/1sew,
57,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,
58,Colossus: The Forbin Project,1970,https://boxd.it/1Nmw,
59,Crimes of the Future,2022,https://boxd.it/uTuY,
60,Fahrenheit 451,1966,https://boxd.it/28fw,
61,Forbidden Planet,1956,https://boxd.it/29vK,
62,Godzilla,1954,https://boxd.it/28kc,
63,Lifeforce,1985,https://boxd.it/1SGw,
64,Repo Man,1984,https://boxd.it/1Plg,
65,Strange Days,1995,https://boxd.it/2aGO,
66,Tetsuo: The Iron Man,1989,https://boxd.it/ZoM,
67,The Incredible Shrinking Man,1957,https://boxd.it/1ixS,
68,The Man Who Fell to Earth,1976,https://boxd.it/298w,
69,Time Masters,1982,https://boxd.it/1Atu,
70,Shivers,1975,https://boxd.it/1rPG,
71,After Yang,2021,https://boxd.it/lx5a,
72,Soylent Green,1973,https://boxd.it/1SxE,
