Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-11-22,Dracula 🦇,,https://boxd.it/AB71a,

Position,Name,Year,URL,Description
1,Nosferatu,2024,https://boxd.it/f5eG,
2,Nosferatu the Vampyre,1979,https://boxd.it/21J0,
3,Dracula,1931,https://boxd.it/2b34,
4,Nosferatu,1922,https://boxd.it/29TM,
5,Dracula,1979,https://boxd.it/1fk2,
6,Shadow of the Vampire,2000,https://boxd.it/1Vb2,
7,Bram Stoker's Dracula,1992,https://boxd.it/223a,
8,Dracula,1958,https://boxd.it/1STA,
9,Dracula,2020,https://boxd.it/ozuM,
10,The Last Voyage of the Demeter,2023,https://boxd.it/nzTq,
