Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-03,lima pictures awards 2022,,https://boxd.it/wKoXW,"1 - 5 Melhor Filme

Mais indicações:
The Shining (6)
The Lighthouse (6)

Mais prêmios:
Blade Runner (2)
2001 (2)
The Shining (2)"

Position,Name,Year,URL,Description
1,The Shining,1980,https://boxd.it/29Nu,"Trilha sonora, fotografia, atuação (Jack Nicholson), atuação (Shelley Duvall), roteiro, melhor filme"
2,Blade Runner,1982,https://boxd.it/2bcA,"Trilha sonora, ambientação, efeitos, melhor filme"
3,2001: A Space Odyssey,1968,https://boxd.it/2bf0,"Fotografia, ambientação, efeitos, melhor filme"
4,The Lighthouse,2019,https://boxd.it/icFU,"Fotografia, ambientação, atuação (Willem Dafoe), atuação (Robert Pattison), roteiro, melhor filme"
5,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,"Efeitos, poster, melhor filme"
6,Spree,2020,https://boxd.it/oiiO,Pior filme
7,Blow-Up,1966,https://boxd.it/2966,Pior filme
8,Fresh,2022,https://boxd.it/tCNi,Pior filme
9,Men,2022,https://boxd.it/tlc0,Pior filme
10,On the Count of Three,2021,https://boxd.it/tbfI,Pior filme
11,Good Time,2017,https://boxd.it/fcFu,"Trilha sonora, fotografia, roteiro, poster"
12,Psycho,1960,https://boxd.it/2ab2,Trilha sonora
13,Suspiria,1977,https://boxd.it/1SNW,Trilha sonora
14,Midsommar,2019,https://boxd.it/jhxe,Ambientação
15,The Northman,2022,https://boxd.it/nK2s,Ambientação
16,Hereditary,2018,https://boxd.it/hNVe,Atuação (Toni Colette)
17,Alien,1979,https://boxd.it/2awY,Efeitos
18,A Clockwork Orange,1971,https://boxd.it/2aVE,"Roteiro, poster"
19,The Vanishing,1988,https://boxd.it/1ZTW,Roteiro
20,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,Poster
21,After Hours,1985,https://boxd.it/1VfS,Poster
22,Blade Runner 2049,2017,https://boxd.it/b8wK,Efeitos
23,The Green Knight,2021,https://boxd.it/kuy2,Fotografia
