Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-06-28,Malucadora,,https://boxd.it/wCtxo,Coleção de dvds da mav e lu!

Position,Name,Year,URL,Description
1,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
2,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
3,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
4,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
5,The Incredibles,2004,https://boxd.it/1XLm,
6,Parasite,2019,https://boxd.it/hTha,
7,The Lighthouse,2019,https://boxd.it/icFU,
8,PlayTime,1967,https://boxd.it/1WLK,
9,Blade Runner,1982,https://boxd.it/2bcA,
10,Star Wars,1977,https://boxd.it/72s,
11,The Empire Strikes Back,1980,https://boxd.it/27Vw,
12,Return of the Jedi,1983,https://boxd.it/27Vm,
13,Amadeus,1984,https://boxd.it/2aH8,
14,The Shining,1980,https://boxd.it/29Nu,
15,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
16,A Clockwork Orange,1971,https://boxd.it/2aVE,
17,Eyes Wide Shut,1999,https://boxd.it/2axs,
18,Full Metal Jacket,1987,https://boxd.it/2a1Q,
19,Barry Lyndon,1975,https://boxd.it/25A2,
20,Lolita,1962,https://boxd.it/29Ag,
21,Stanley Kubrick: A Life in Pictures,2001,https://boxd.it/1lnm,
22,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
23,The Witch,2015,https://boxd.it/9X0m,
24,The Exorcist,1973,https://boxd.it/1Yoo,
25,The Wicker Man,1973,https://boxd.it/1KnG,
26,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
27,Ben-Hur,1959,https://boxd.it/29RQ,
28,Spartacus,1960,https://boxd.it/29bq,
29,Hour of the Star,1985,https://boxd.it/XUQ,
30,Dog Day Afternoon,1975,https://boxd.it/29bg,
31,North by Northwest,1959,https://boxd.it/2aRM,
32,Some Like It Hot,1959,https://boxd.it/2aNA,
33,Apocalypse Now,1979,https://boxd.it/6ZS,
34,The 400 Blows,1959,https://boxd.it/2b1C,
35,Breathless,1960,https://boxd.it/2aIK,
36,Two in the Wave,2010,https://boxd.it/5l8,
37,Throne of Blood,1957,https://boxd.it/251w,
38,Bunny Lake Is Missing,1965,https://boxd.it/27NW,
39,World on a Wire,1973,https://boxd.it/B9me,
40,The Snows of Kilimanjaro,2011,https://boxd.it/3duI,
41,Le Mans,1971,https://boxd.it/22lo,
42,Veronika Voss,1982,https://boxd.it/273O,
43,For Love and Gold,1966,https://boxd.it/1yIs,
44,Laura,1944,https://boxd.it/27Oq,
45,Scanners,1981,https://boxd.it/1YqE,
46,The End of Man,1971,https://boxd.it/AFS,
47,Dial M for Murder,1954,https://boxd.it/2adW,
48,Strangers on a Train,1951,https://boxd.it/29tk,
49,Magnolia,1999,https://boxd.it/2aze,
50,Drunken Angel,1948,https://boxd.it/1uYQ,
51,Hellraiser,1987,https://boxd.it/1Zpi,
52,The Name of the Rose,1986,https://boxd.it/2aUw,
53,The Church,1989,https://boxd.it/11Zg,
