Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-19,Tema: Ficção científica tipo Philip K. Dick,,https://boxd.it/D7bO8,

Position,Name,Year,URL,Description
1,Colossus: The Forbin Project,1970,https://boxd.it/1Nmw,
2,Resurrection,2025,https://boxd.it/x9DG,
3,Morning Patrol,1987,https://boxd.it/2Eze,
4,After Yang,2021,https://boxd.it/lx5a,
5,Altered States,1980,https://boxd.it/1TBi,
6,Ga-ga: Glory to the Heroes,1986,https://boxd.it/3duy,
7,"O-Bi, O-Ba: The End of Civilization",1985,https://boxd.it/2pHW,
8,The Man Who Fell to Earth,1976,https://boxd.it/298w,
9,Screamers,1995,https://boxd.it/1Z9Y,
10,Gattaca,1997,https://boxd.it/29Du,
11,Logan's Run,1976,https://boxd.it/1Vma,
12,Strange Days,1995,https://boxd.it/2aGO,
13,The War of the Worlds: Next Century,1981,https://boxd.it/5CKq,
14,Videodrome,1983,https://boxd.it/29uC,
15,Total Recall,1990,https://boxd.it/29qK,
16,They Live,1988,https://boxd.it/20lm,
17,Dark City,1998,https://boxd.it/26uk,
18,eXistenZ,1999,https://boxd.it/27Ni,
19,Minority Report,2002,https://boxd.it/2aWi,
