Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-01,Tema: Giallo,,https://boxd.it/JLdM8,

Position,Name,Year,URL,Description
1,Footprints on the Moon,1975,https://boxd.it/2T2a,
2,The Fifth Cord,1971,https://boxd.it/Wj0,
3,The Possessed,1965,https://boxd.it/3xFm,
4,Who Saw Her Die?,1972,https://boxd.it/2hSs,
5,Short Night of Glass Dolls,1971,https://boxd.it/12K2,
6,The Suspicious Death of a Minor,1975,https://boxd.it/2N4a,
7,Private Crimes,1993,https://boxd.it/Iumo,
8,Torso,1973,https://boxd.it/1iGg,
9,The New York Ripper,1982,https://boxd.it/1koy,
10,A Lizard in a Woman's Skin,1971,https://boxd.it/9Sq,
11,The Psychic,1977,https://boxd.it/1ray,
12,Don't Torture a Duckling,1972,https://boxd.it/Gfc,
13,The House with Laughing Windows,1976,https://boxd.it/mG8,
14,The Perfume of the Lady in Black,1974,https://boxd.it/3W2,
15,The Red Queen Kills Seven Times,1972,https://boxd.it/12po,
16,Five Dolls for an August Moon,1970,https://boxd.it/1qmS,
17,The Stendhal Syndrome,1996,https://boxd.it/13GK,
18,The Cat o' Nine Tails,1971,https://boxd.it/1rPm,
19,Phenomena,1985,https://boxd.it/1o4s,
20,Deep Red,1975,https://boxd.it/1E1E,
21,Blood and Black Lace,1964,https://boxd.it/1qme,
22,The Strange Vice of Mrs Wardh,1971,https://boxd.it/1kkw,
23,Four Flies on Grey Velvet,1971,https://boxd.it/1kN4,
24,The Bird with the Crystal Plumage,1970,https://boxd.it/1DDW,
25,The Girl Who Knew Too Much,1963,https://boxd.it/1qou,
26,The Case of the Scorpion's Tail,1971,https://boxd.it/1JDI,
27,What Have You Done to Solange?,1972,https://boxd.it/21uY,
28,Tenebre,1982,https://boxd.it/1mRM,
29,A Bay of Blood,1971,https://boxd.it/232i,
30,Opera,1987,https://boxd.it/1E2M,
31,Your Vice Is a Locked Room and Only I Have the Key,1972,https://boxd.it/2uT4,
32,Death Walks at Midnight,1972,https://boxd.it/3cV4,
33,Death Laid an Egg,1968,https://boxd.it/48Z4,
34,Death Occurred Last Night,1970,https://boxd.it/3zik,
35,The Forbidden Photos of a Lady Above Suspicion,1970,https://boxd.it/3eow,
36,Death Walks on High Heels,1971,https://boxd.it/2F4w,
