Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-13,Tema: Homens e mulheres da Idade Média,,https://boxd.it/CQ59O,

Position,Name,Year,URL,Description
1,Witchfinder General,1968,https://boxd.it/1i1s,
2,The Return of Martin Guerre,1982,https://boxd.it/24gg,
3,Marketa Lazarová,1967,https://boxd.it/1uSS,
4,The Name of the Rose,1986,https://boxd.it/2aUw,
5,The Blood on Satan's Claw,1971,https://boxd.it/1td0,
6,Andrei Rublev,1966,https://boxd.it/29lg,
7,Witchhammer,1970,https://boxd.it/akE,
8,The Masque of the Red Death,1964,https://boxd.it/1w12,
9,Chimes at Midnight,1965,https://boxd.it/299k,
10,Richard III,1955,https://boxd.it/UMa,
11,For Love and Gold,1966,https://boxd.it/1yIs,
12,Macbeth,1971,https://boxd.it/1U9k,
13,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,
14,The Devil's Trap,1962,https://boxd.it/3Tu6,
15,The Valley of the Bees,1968,https://boxd.it/1uSe,
16,Macbeth,1948,https://boxd.it/1qKA,
17,"Ivan the Terrible, Part I",1944,https://boxd.it/1XMO,
18,"Ivan the Terrible, Part II: The Boyars' Plot",1946,https://boxd.it/Vfc,
19,Lancelot of the Lake,1974,https://boxd.it/qR0,
