Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-04,Tema: Noir,,https://boxd.it/AWmXq,

Position,Name,Year,URL,Description
1,Stray Dog,1949,https://boxd.it/1ltu,
2,Angel Face,1952,https://boxd.it/27OA,
3,Panic,1946,https://boxd.it/UpU,
4,The Big Clock,1948,https://boxd.it/1EgY,
5,The Lady from Shanghai,1947,https://boxd.it/251Q,
6,White Heat,1949,https://boxd.it/1Lw0,
7,Out of the Past,1947,https://boxd.it/29PK,
8,Detour,1945,https://boxd.it/1DB2,
9,Elevator to the Gallows,1958,https://boxd.it/294u,
10,Gilda,1946,https://boxd.it/251G,
11,The Big Heat,1953,https://boxd.it/1NNM,
12,Rififi,1955,https://boxd.it/29f8,
13,Kiss Me Deadly,1955,https://boxd.it/1HHe,
14,The Big Sleep,1946,https://boxd.it/29iQ,
15,The Hitch-Hiker,1953,https://boxd.it/ZjC,
16,Gun Crazy,1950,https://boxd.it/1Gw0,
17,Scarlet Street,1945,https://boxd.it/1JgE,
18,Pickup on South Street,1953,https://boxd.it/1uLM,
19,The Seventh Victim,1943,https://boxd.it/1CEY,
20,The Killers,1946,https://boxd.it/1NGc,
21,Stranger on the Third Floor,1940,https://boxd.it/1nom,
22,Night and the City,1950,https://boxd.it/1FFg,
23,The Sniper,1952,https://boxd.it/1vAK,
