Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-01-27,Theme from...,profile,https://boxd.it/stymc,"Companion de <a href=""https://music.youtube.com/playlist?list=PL55uBPt81GRtUif9M2KyOlCN_MhbEcO71&si=KTgY7p1YbxhIXiWT"">escrito e dirigido por clovis basilio</a>"

Position,Name,Year,URL,Description
1,The Shining,1980,https://boxd.it/29Nu,
2,Good Time,2017,https://boxd.it/fcFu,
3,Suspiria,1977,https://boxd.it/1SNW,
4,Blade Runner,1982,https://boxd.it/2bcA,
5,Apocalypse Now,1979,https://boxd.it/6ZS,
6,The Holy Mountain,1973,https://boxd.it/20mu,
7,Eyes Wide Shut,1999,https://boxd.it/2axs,
8,Ex Machina,2015,https://boxd.it/7T2k,
9,The House of the Devil,2009,https://boxd.it/1uIe,
10,The Batman,2022,https://boxd.it/eDGs,
11,Assault on Precinct 13,1976,https://boxd.it/1I2c,
12,Fantastic Planet,1973,https://boxd.it/1KnQ,
13,Joker,2019,https://boxd.it/h4cS,
14,Us,2019,https://boxd.it/gnV6,
15,American Psycho,2000,https://boxd.it/28Vs,
16,Triangle of Sadness,2022,https://boxd.it/hXlq,
17,Oldboy,2003,https://boxd.it/29R2,
18,Scream,1996,https://boxd.it/24EC,
19,Oppenheimer,2023,https://boxd.it/wUow,
20,The Conversation,1974,https://boxd.it/2a38,
21,BlacKkKlansman,2018,https://boxd.it/hxL8,
22,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
23,Bacurau,2019,https://boxd.it/fSUG,
24,Barry Lyndon,1975,https://boxd.it/25A2,
25,A Clockwork Orange,1971,https://boxd.it/2aVE,
26,The Graduate,1967,https://boxd.it/18Im,
27,Lost Highway,1997,https://boxd.it/29Wc,
28,Poor Things,2023,https://boxd.it/tNWU,
29,Dracula,1931,https://boxd.it/2b34,
30,Deep Red,1975,https://boxd.it/1E1E,
31,Phantom of the Paradise,1974,https://boxd.it/1s34,
32,Christine,1983,https://boxd.it/1ZRQ,
33,Rosemary's Baby,1968,https://boxd.it/29zM,
34,Amadeus,1984,https://boxd.it/2aH8,
35,Chungking Express,1994,https://boxd.it/1UDa,
36,Possession,1981,https://boxd.it/1BPm,
37,Godzilla Minus One,2023,https://boxd.it/zu4c,
38,The Thing,1982,https://boxd.it/294O,
39,The Vanishing,1988,https://boxd.it/1ZTW,
40,Halloween,1978,https://boxd.it/2wRu,
41,Star Wars,1977,https://boxd.it/72s,
42,Pulp Fiction,1994,https://boxd.it/29Pq,
43,World on a Wire,1973,https://boxd.it/B9me,
44,Long Day's Journey Into Night,2018,https://boxd.it/hw1I,
45,Perfect Days,2023,https://boxd.it/ATh8,
46,After Hours,1985,https://boxd.it/1VfS,
47,The Third Man,1949,https://boxd.it/294E,
48,X,2022,https://boxd.it/sxVa,
49,Body Double,1984,https://boxd.it/1TGW,
50,Punch-Drunk Love,2002,https://boxd.it/20E4,
51,Uncut Gems,2019,https://boxd.it/gXGc,
52,Boogie Nights,1997,https://boxd.it/23um,
53,Shin Kamen Rider,2023,https://boxd.it/uDlw,
54,Bramayugam,2024,https://boxd.it/Iekc,
55,Longlegs,2024,https://boxd.it/KzLM,
56,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
57,For a Few Dollars More,1965,https://boxd.it/29eu,
58,I'm Still Here,2024,https://boxd.it/BPEO,
59,Death Proof,2007,https://boxd.it/27GG,
60,Challengers,2024,https://boxd.it/zld0,
61,Four Flies on Grey Velvet,1971,https://boxd.it/1kN4,
62,Until the End of the World,1991,https://boxd.it/1WuY,
63,A Different Man,2024,https://boxd.it/BoEC,
64,Veronika Voss,1982,https://boxd.it/273O,
65,Twin Peaks,1989,https://boxd.it/g8pk,
66,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
67,The Girl Who Knew Too Much,1963,https://boxd.it/1qou,
68,Your Vice Is a Locked Room and Only I Have the Key,1972,https://boxd.it/2uT4,
69,The Strange Vice of Mrs Wardh,1971,https://boxd.it/1kkw,
70,All the Colours of the Dark,1972,https://boxd.it/1kkQ,
71,The Case of the Scorpion's Tail,1971,https://boxd.it/1JDI,
72,August in the Water,1995,https://boxd.it/3xQE,
73,Five Dolls for an August Moon,1970,https://boxd.it/1qmS,
74,A Lizard in a Woman's Skin,1971,https://boxd.it/9Sq,
75,Blood and Black Lace,1964,https://boxd.it/1qme,
76,Licorice Pizza,2021,https://boxd.it/qTKY,
77,The Suspicious Death of a Minor,1975,https://boxd.it/2N4a,
78,Torso,1973,https://boxd.it/1iGg,
79,Wild at Heart,1990,https://boxd.it/2aii,
80,Heat,1995,https://boxd.it/2bg8,
81,Collateral,2004,https://boxd.it/28F0,
82,One on Top of the Other,1969,https://boxd.it/2wys,
83,Bunny Lake Is Missing,1965,https://boxd.it/27NW,
84,The Smashing Machine,2025,https://boxd.it/syUC,
85,Fréwaka,2024,https://boxd.it/J7CA,
