Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-09-12,The Lighthouse,2019,https://boxd.it/3dvV5F,5,,"what
what
wht
wah
WHA",'10s,2022-09-11
2022-09-12,The Killing of a Sacred Deer,2017,https://boxd.it/3dzE7R,4,,purê de batata,,
2022-10-15,Ex Machina,2015,https://boxd.it/3k51Id,4.5,,"um humano, um deus e uma maquina ou uma maquina, um humano e um deus ou um deus, uma maquina e um humano?",'10s,2022-10-14
2023-07-21,Funny Games,1997,https://boxd.it/4ybBzd,3.5,,"como dar nota pra uma obra que contradiz tudo que promete? deveria ser baixa por falhar as expectativas? ou então alta, já que trás uma proposta inteligente de um antifilm?
se vc quis ver violência, vc se enganou, mas ao mesmo tempo vc não iniciaria o filme se estivesse procurando uma obra que critica a violência como entretenimento
a verdade é que o filme não ta nem aí pra vc e muito menos pras convenções do gênero, de um jeito ou de outro vc não assiste oq quer mas com certeza assiste até o final, pq obviamente não vai querer perder aquilo que você não quer ver!",90s,2023-07-20
2023-07-27,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/4AG51j,4.5,,"o mais wes andersonizado dos wes anderson. três histórias que estão conectadas não apenas por estarem na mesma edição de um jornal, mas também por sua dualidade que pode ser interpretada das mais diferentes formas. dualidade presente também no espectador, que não consegue decidir se presta atenção nas informações dos diálogos ou no visual único, e mesmo assim se encanta",'20s,2023-07-26
2023-11-04,The Cabinet of Dr. Caligari,1920,https://boxd.it/56GP5p,5,,"The Cabinet of Dr. Caligari takes place in a small ville, with distinguishing buildings and architecture based on the german expressionism moviment and paintings like The Scream by Edvard Munch. 
Though it is a silent movie, its sound is remarkable: the soundtrack goes on the opposite way of other movies from the decade and completely forgets classical music, instead, the score is made from distorted guitars, drums, and sax to build up a very unique and sort of psychedelic scenario, perfectly matching with the expressionist background, which, in turn, matches with the story that is being told. In addition, the blend of notes and chords, especially from the guitars, feels like a conversation between the instruments, resulting in a very interesting element to have in a movie without speech.",20s,2023-11-03
2024-01-11,PlayTime,1967,https://boxd.it/5yNUVV,5,,"Enquanto usa do espaço físico pra fazer comédia, Tati encaixa suas críticas (ainda atuais) sob o mundo ao nosso redor, e consegue ainda encontrar lugar pra um pequeno romance no meio do caos modernista que é a Paris dos anos 60, cidade essa que tem sua beleza literalmente (e eu realmente quero dizer literalmente) refletida na fotografia absurda do filme. É a primeira e a sétima arte juntas. É uma obra prima da comédia e da cinematografia que esconde em cada frame uma emoção que provavelmente você irá notar apenas assistindo pela segunda ou terceira vez.",60s,2024-01-10
2024-01-23,They Live,1988,https://boxd.it/5F9W7h,3,,"As cenas em preto e branco são muito boas, o começo do filme também. Mas acho que se perde naquela coisa do protagonista galã anos 80 comediante que faz pequenos comentários nem tão engraçadinhos sobre a situação que ele se encontra e aí acaba pendendo todo o peso que a cena poderia ter, o que resulta num filme que não tem peso muito menos é engraçado",80s,2024-01-22
2024-02-02,Paths of Glory,1957,https://boxd.it/5JYSJT,4.5,,"Cada diálogo, cada fala, cada palavra do filme parece milimetricamente pensada pra causar ao mesmo tempo a raiva, o riso e a tristeza em quem assiste. Mas o mais curioso é como isso flui não apenas em quem assiste, mas de personalidade pra personalidade dentro do filme, e como uma cena, vista da perspectiva de um general, pode ser hilaria, enquanto pela visão de um coronel é odiosa. Mas a gente sabe que no final, todos são estúpidos, a situação é estúpida, o objetivo é estúpido, e o Kubrick é o pai de todos nós.",50s,2024-02-01
2024-02-15,World on a Wire,1973,https://boxd.it/5PJxbl,5,,"É frequente na cinematografia do filme não olharmos diretamente pros personagens, como se fizessem parte de um mundo que não está na frente da câmera, mas sim numa camada mais distante do que isso. A sugestão que a fotografia faz sobre a situação dos personagens é relativamente simples de entender, mas muito inteligente e certamente muito difícil de executar, apesar de receber apoio dos cenários excelentes, comuns nos Fassbinder. A história é super interessante e evoca até o noir, e também sustenta um estilo retrofuturista dos anos 70 que eu adoro, tanto no visual quanto nos conceitos inseridos no texto baseado no Simulacron-3","w/ mav, 70s",2024-02-14
