Date,Name,Year,Letterboxd URI
2022-07-31,Parasite,2019,https://boxd.it/hTha
2022-07-31,The Shining,1980,https://boxd.it/29Nu
2022-07-31,A Clockwork Orange,1971,https://boxd.it/2aVE
2022-07-31,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2022-07-31,BlacKkKlansman,2018,https://boxd.it/hxL8
2022-07-31,Jojo Rabbit,2019,https://boxd.it/iEBG
2022-07-31,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ
2022-07-31,American Psycho,2000,https://boxd.it/28Vs
2022-07-31,Blade Runner,1982,https://boxd.it/2bcA
2022-07-31,Blade Runner 2049,2017,https://boxd.it/b8wK
2022-07-31,The Platform,2019,https://boxd.it/mUm6
2022-07-31,Uncut Gems,2019,https://boxd.it/gXGc
2022-07-31,Ford v Ferrari,2019,https://boxd.it/ce74
2022-07-31,The Batman,2022,https://boxd.it/eDGs
2022-07-31,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2022-07-31,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2022-07-31,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u
2022-07-31,The Hobbit: An Unexpected Journey,2012,https://boxd.it/GZk
2022-07-31,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/nmS
2022-07-31,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/43aU
2022-07-31,Get Out,2017,https://boxd.it/eOCm
2022-08-01,Joker,2019,https://boxd.it/h4cS
2022-08-01,Spree,2020,https://boxd.it/oiiO
2022-08-01,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-08-23,The Witch,2015,https://boxd.it/9X0m
2022-08-27,Us,2019,https://boxd.it/gnV6
2022-09-08,Nathan for You: Finding Frances,2017,https://boxd.it/hufy
2022-09-08,Nope,2022,https://boxd.it/sDCe
2022-09-09,The Truman Show,1998,https://boxd.it/18U8
2022-09-11,Midsommar,2019,https://boxd.it/jhxe
2022-09-11,Hereditary,2018,https://boxd.it/hNVe
2022-09-11,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2022-09-12,The Lighthouse,2019,https://boxd.it/icFU
2022-09-12,The Lobster,2015,https://boxd.it/7tnw
2022-10-11,Men,2022,https://boxd.it/tlc0
2022-10-11,mother!,2017,https://boxd.it/dgRU
2022-10-11,Green Room,2015,https://boxd.it/a75m
2022-10-12,X,2022,https://boxd.it/sxVa
2022-10-12,Good Time,2017,https://boxd.it/fcFu
